scaffold_1	CHR1
scaffold_2	CHR2
scaffold_3	CHR3
scaffold_4	CHR4
scaffold_5	CHR5
scaffold_6	CHR6
scaffold_7	CHR7
scaffold_8	CHR8
scaffold_9	CHR9
scaffold_10	CHR10
scaffold_11	CHR11
scaffold_12	CHR12
scaffold_13	CHR13
scaffold_14	CHR14
scaffold_15	CHR15
scaffold_16	CHR16
scaffold_17	CHR17
scaffold_18	CHR18
scaffold_19	CHR19
scaffold_20	CHR20
